frame.time_epoch,ip.src,ip.dst,dns.qry.name,http.host,tls.handshake.extensions_server_name
1762227703.717916000,10.157.172.144,10.157.172.129,app-measurement.com,,
1762227703.756870000,10.157.172.129,10.157.172.144,app-measurement.com,,
1762227703.811124000,10.157.172.144,142.250.192.110,,,app-measurement.com
1762227703.869205000,10.157.172.144,10.157.172.129,googleads.g.doubleclick.net,,
1762227703.899566000,10.157.172.129,10.157.172.144,googleads.g.doubleclick.net,,
1762227703.906653000,10.157.172.144,10.157.172.129,static.doubleclick.net,,
1762227703.944304000,10.157.172.129,10.157.172.144,static.doubleclick.net,,
1762227703.979219000,10.157.172.144,142.251.43.162,,,googleads.g.doubleclick.net
1762227704.000884000,10.157.172.144,142.251.221.230,,,static.doubleclick.net
1762227704.449680000,10.157.172.144,142.250.193.78,,,encrypted-tbn0.gstatic.com
1762227709.998588000,10.157.172.144,142.251.220.65,,,cdn.ampproject.org
1762227710.006000000,10.157.172.144,142.251.220.65,,,cdn.ampproject.org
1762227710.221856000,10.157.172.144,10.157.172.129,poki.com,,
1762227710.222702000,10.157.172.144,10.157.172.129,poki.com,,
1762227710.254403000,10.157.172.129,10.157.172.144,poki.com,,
1762227710.254403000,10.157.172.129,10.157.172.144,poki.com,,
1762227710.268492000,10.157.172.144,104.18.144.9,,,poki.com
1762227710.489833000,10.157.172.144,10.157.172.129,accounts.google.com,,
1762227710.509334000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227710.511660000,10.157.172.129,10.157.172.144,accounts.google.com,,
1762227710.532400000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227710.541883000,10.157.172.144,10.157.172.129,accounts.google.com.mshome.net,,
1762227710.546456000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com.mshome.net,,
1762227710.554990000,10.157.172.144,74.125.68.84,,,accounts.google.com
1762227710.567925000,10.157.172.144,142.251.222.74,,,optimizationguide-pa.googleapis.com
